artist_name,artist_nationality,artist_birth_year,artist_death_year,auction_house,auction_sale_id,auction_department,auction_location,auction_date,auction_currency,exchange_rate_to_usd,auction_lot_count,lot_id,lot_place_in_auction,lot_description,lot_link,work_title,work_medium,work_execution_year,work_dimensions,work_height,work_width,work_depth,work_measurement_unit,hammer_price,buyers_premium,estimate_low,estimate_high
Sol Lewitt,American,1928,2007,Phillips,NY010814,Post-War & Contemporary,New York,2014-11-14T00:00:00,USD,1,195,205,105,"{'medium': 'paint, wood', 'dimensions': '59 1/2 x 40 x 38 in. (151.1 x 101.6 x 96.5 cm)'}",https://www.phillips.com/detail/SOL-LEWITT/NY010814/205,Complex Form,sculpture,-1,59 1/2 x 40 x 38 in. (151.1 x 101.6 x 96.5 cm),151.1,101.6,96.5,cm,50000,12500,50000,70000
Sol Lewitt,American,1928,2007,Phillips,NY010814,Post-War & Contemporary,New York,2014-11-14T00:00:00,USD,1,195,193,93,"{'medium': 'ink on paper', 'dimensions': '18 x 18 in. (45.7 x 45.7 cm)'}",https://www.phillips.com/detail/SOL-LEWITT/NY010814/193,Four-Part Drawing Using Three Colors In Each Part,painting,-1,18 x 18 in. (45.7 x 45.7 cm),45.7,45.7,-1,cm,55000,13750,50000,70000
Sol Lewitt,American,1928,2007,Christies,2892,Prints & Multiples,New York,2014-11-13T00:00:00,USD,1,238,156,-1,"Sol LeWitt (1928-2007)
Horizontal brush strokes, not straight
signed, titled and dated 'Horizontal brush strokes, not straight Sol LeWitt 1993' (lower left)
gouache on paper
22½ x 30 in. (57.1 x 76.2 cm.)
Painted in 1993.",https://www.christies.com/lotfinder/drawings-watercolors/sol-lewitt-horizontal-brush-strokes-not-s-5838699-details.aspx,"Horizontal Brush Strokes, Not Straight",watercolor,1993,22 1/2 x 30 in (57.1 x 76.2 cm),57.1,76.2,-1,cm,40000,10000,25000,35000
Sol Lewitt,American,1928,2007,Christies,2892,Prints & Multiples,New York,2014-11-13T00:00:00,USD,1,238,149,-1,"Sol LeWitt (1928-2007)
Four color drawing with each color in a half square
signed, titled and dated 'Four color drawing with each color in a half square Sol LeWitt May 13, 1971' (lower edge)
ink and graphite on paper
10 x 10 in. (25.4 x 25.4 cm.)
Executed in 1971.",https://www.christies.com/lotfinder/drawings-watercolors/sol-lewitt-four-color-drawing-with-each-5838692-details.aspx,Four Color Drawing With Each Color In A Half Square,drawing,1971,10 x 10 in (25.4 x 25.4 cm),25.4,25.4,-1,cm,150000,35000,60000,80000
Sol Lewitt,American,1928,2007,Sothebys,N09222,Post-War & Contemporary,New York,2014-11-12T14:00:00.202000,USD,1,472,226,125,"{'medium': 'gouache on paperboard', 'rawText': '', 'circa': '1995'}",http://www.sothebys.com/en/auctions/ecatalogue/2014/contemporary-art-day-sale-n09222/lot.226.html,Wavy Brushstroke,watercolor,1995,-1,-1,-1,-1,-1,620000,129000,150000,200000
Sol Lewitt,American,1928,2007,Sothebys,N09222,Post-War & Contemporary,New York,2014-11-12T14:00:00.202000,USD,1,472,294,189,"{'medium': 'gouache on paper', 'rawText': '', 'circa': ''}",http://www.sothebys.com/en/auctions/ecatalogue/2014/contemporary-art-day-sale-n09222/lot.294.html,Irregular Curves,watercolor,-1,-1,-1,-1,-1,-1,100000,25000,50000,70000
Sol Lewitt,American,1928,2007,Sothebys,N09222,Post-War & Contemporary,New York,2014-11-12T14:00:00.202000,USD,1,472,295,190,"{'medium': 'painted wood', 'rawText': '', 'circa': ''}",http://www.sothebys.com/en/auctions/ecatalogue/2014/contemporary-art-day-sale-n09222/lot.295.html,Small Works,sculpture,-1,-1,-1,-1,-1,-1,100000,25000,70000,90000
Sol Lewitt,American,1928,2007,Sothebys,N09222,Post-War & Contemporary,New York,2014-11-12T14:00:00.202000,USD,1,472,290,185,"{'medium': 'wood painted white', 'rawText': '', 'circa': ''}",http://www.sothebys.com/en/auctions/ecatalogue/2014/contemporary-art-day-sale-n09222/lot.290.html,3 X 4 X 6,sculpture,-1,-1,-1,-1,-1,-1,100000,25000,80000,120000
Sol Lewitt,American,1928,2007,Christies,3049,Post-War & Contemporary,Amsterdam,2014-11-04T00:00:00,EUR,1.2514,244,51,-1,"Sol LeWitt (1928-2007) 
Asymmetrical pyramid 
signed and dated 'S. LeWitt 85' (lower right) 
gouache on paper 
56 x 74 cm. 
Executed in 1985",https://www.christies.com/lotfinder/drawings-watercolors/sol-lewitt-asymmetrical-pyramid-5839756-details.aspx,Asymmetrical Pyramid,watercolor,1985,56 x 74 cm,56,74,-1,cm,19000,4750,15000,20000
Sol Lewitt,American,1928,2007,Sothebys,N09216,Prints & Multiples,New York,2014-10-30T18:00:00.790000,USD,1,435,290,-1,"{'medium': 'Screenprint', 'dimensions': ""Six screenprints in color, 1985, each signed&nbsp;in pencil, numbered 15/20, 3/20, 14/20, 15/20, 15/20 and 1/20&nbsp;(total edition includes six artist's proofs), on&nbsp;Arches Cover&nbsp;paper, printed by Jo Watanable, New York, co-published by the artist and Multiples, Inc., New York, framed (6 prints)&nbsp;""}",http://www.sothebys.com/en/auctions/ecatalogue/2014/prints-n09216/lot.290.html,Forms Derived From A Cube In Color (Simple And Superimposed) And Black And Gray (K. 1985.01),print,1985,-1,-1,-1,-1,-1,4750,1188,6000,8000
Sol Lewitt,American,1928,2007,Sothebys,N09216,Prints & Multiples,New York,2014-10-30T18:00:00.790000,USD,1,435,289,-1,"{'medium': 'Screenprint', 'dimensions': 'Screenprint, 1972, signed in pencil, numbered 108/144, on Strathmore wove paper, printed by Fine Creations Inc.,&nbsp;New York,&nbsp;published by Lincoln Centre/HKL Art Posters, New York,&nbsp;framed'}",http://www.sothebys.com/en/auctions/ecatalogue/2014/prints-n09216/lot.289.html,"Arc, Circles And Grids (K. 1972.08)",poster,1972,-1,-1,-1,-1,-1,3750,938,5000,7000
